number,exp,child,tax,fin,natur,edu,self
1945,178812.04,1,66856.0,12500,0.0,5.0,3.0
1946,248937.08,1,69856.0,7500,0.0,4.0,4.0
1947,117192.86,1,0.0,0,0.0,4.0,3.0
1949,216655.05,1,56916.0,12500,0.0,4.0,5.0
1950,297915.99,1,75021.0,7500,0.0,5.0,5.0
1951,159869.93,1,29396.0,0,0.0,5.0,3.0
1952,141918.76,1,50488.0,12500,0.0,5.0,4.0
1953,135526.34,1,44915.0,12500,0.0,5.0,4.0
1954,167577.39,1,44160.0,12500,0.0,5.0,4.0
1955,129811.42,1,36384.0,7500,0.0,5.0,4.0
1957,140639.35,3,19110.0,2500,0.0,2.0,3.0
1958,184831.61,3,29955.0,7500,0.0,2.0,4.0
1959,160180.0,1,31635.0,17500,0.0,5.0,4.0
1960,232902.23,2,94937.0,12500,0.0,4.0,3.0
1961,88137.63,1,0.0,0,0.0,5.0,2.0
1962,228465.42,1,38220.0,27500,0.0,4.0,3.0
1964,88088.18,1,6240.0,0,0.0,4.0,2.0
1965,74828.0,1,13650.0,0,7568.2,5.0,2.0
1967,65522.37,1,15360.0,0,0.0,4.0,2.0
1968,148421.33,3,49157.8,0,0.0,3.0,5.0
1969,174156.84,1,29216.0,7500,0.0,4.0,3.0
1970,217320.81,3,47400.0,7500,0.0,3.0,3.0
1971,167350.95,2,47800.0,7500,0.0,3.0,3.0
1972,104638.61,2,17700.0,0,0.0,2.0,2.0
1973,139726.44,1,36100.0,7500,0.0,3.0,3.0
1974,173693.89,2,38050.0,7500,0.0,2.0,3.0
1975,216973.07,1,35100.0,17500,0.0,5.0,4.0
1977,247658.61,1,46800.0,27500,0.0,4.0,5.0
1978,60232.83,1,0.0,6000,0.0,5.0,2.0
1979,210027.22,2,39940.0,0,0.0,3.0,3.0
1980,266946.57,1,55628.0,7500,0.0,5.0,4.0
1981,162654.03,1,32398.0,2500,0.0,4.0,3.0
1983,261353.46,1,50028.0,7500,0.0,5.0,4.0
1984,158579.36,1,34482.0,-172500,0.0,5.0,3.0
